Nazwa,Opis,Linki,Nieruchomości,Wielkość
Marek Kolarski,"Dyrektor biura Urzędu M. St. Warszawy zajmującego się reprywatyzacją w 2003 roku. Zdymisjonowany przez Prezydenta Warszawy Lecha Kaczyńskiego za przekroczenie uprawnień w transakcji ze spółką Projekt Saska Michała Sołowowa. Kolarski był protegowanym wiceprezydent Doroty Safjan, która razem z nim na znak protestu (sic!) odeszła z ratusza.

Obecnie robi interesy w branży nieruchomości.","http://www.zw.com.pl/artykul/167507.html http://warszawa.wyborcza.pl/warszawa/1,34889,7202390,Deweloper_mial_odwazne_plany__ale_nie_dostanie_dzialek.html",Ogródki działkowe przy Al. Waszyngtona,small
Jacek Kotas,"W 2007 podsekretarz stanu w Ministerstwie Obrony Narodowej w rządzie Jarosława Kaczyńskiego. Obecnie prezes zarządu Fundacji Narodowe Centrum Studiów Strategicznych, zajmującej się bezpieczeństwem militarnym Polski. Pod jego nadzorem NCSS stworzył raport „Koncepcja Obrony Terytorialnej w Polsce”, który zainspirował strategię obrony terytorialnej przyjętą przez ministra Antoniego Macierewicza w kwietniu 2016 r. Wiceprezes Fundacji Instytut Studiów Wschodnich i organizator Forum Ekonomicznego w Krynicy. 

Od 2002 do lata 2016 w zarządzie firmy deweloperskiej Radius Projekt oraz wielu spółek powiązanych z Radiusem - wycofał się z nich wszystkich między czerwcem a sierpniem 2016 m.in. 
Radius Projekt SPV 3 sp. z o.o. KRS 0000478041, Radius Projekt sp. z o.o. KRS 0000427187, Nowy Świat 68 sp z o.o. KRS 00000437340
Jerozolimskie 200 Invest sp. z o. o. KRS 0000483654, Enerha sp. z o.o. KRS 0000377167, Belvedere Residence sp. z o.o. KRS 0000374839, Rozbrat 44A sp. z o.o. KRS 0000437930, Madalińskiego Invest sp. z o.o. KRS 0000486665
KRD 1 sp. z o. o. KRS 0000362979, Dom Investment Holding sp. z o.o. KRS 0000422232, Utrata 4 Invest sp. z o.o. KRS 0000486621

Ze spółką-matką Radius Projekt, której Kotas do niedawna był prezesem, powiązane są m. in. do cypryjskie spółki Ringwood Financial Limited nr rej. ΗΕ 192771 oraz Blue Copenhagen Holding Limited nr rej. ΗΕ 150920 (poprzez Dom Investment Holding sp. z o.o. KRS 0000422232)",https://web.archive.org/web/20160507134511/http://radius-projekt.pl/o-firmie/zarzad/,,large
Marzena Kruk,"Urzędniczka Ministerstwa Sprawiedliwości w Departamencie Współpracy Zagranicznej i Praw Człowieka. Siostra mec. Nowaczyka, z którym prowadziła wspólne interesy na rynku nieruchomości. W ciągu ostatnich 5 lat w ramach odszkodowań reprywatyzacyjnych otrzymała od M. St. Warszawy kwotę 38 mln zł. Jest też współwłaścicielką zreprywatyzowanej kamienicy przy ul. Odolańskiej 7. Była właścicielką Mokotowskiej 63. ","http://www.se.pl/wiadomosci/polityka/oto-jak-szef-warszawskiej-adwokatury-zostal-wlascicelem-dzialki-wartej-fortune_849144.html 
http://www.newsweek.pl/polska/38-mln-zl-reprywatyzacja-marzena-kruk-ministerstwo-sprawiedliwosci,artykuly,396578,1.html","Plac Defilad 1 / dawna Chmielna 70
Odolańska 7
Mokotowska 63",small
Jerzy Kuprijaniuk,"Biznesmen. Zajmuje się nieruchomościami. Współwłaściciel grupy Radius. Dyrektor cypryjskiej spółki LT Building Limited, nr rejestracyjny ΗΕ 189572.",https://i-cyprus.com/company/309311,,small
Jan L.,"Skarbnik mafii Wołomińskiej. Jeden z liderów zorganizowanej grupy przestępczej, która wyłudzała pożyczki w wołomińskim SKOK-u, biznesmen, posiadający status rezydenta Szwajcarii. Zatrzymany przez policję w kwietniu 2015 r. Zastawem pożyczek wyłudzanych ze SKOKów były przeważnie nieruchomości, będące w dyspozycji liderów grupy, figurujące w rejestrach na jej członków. Zakupy nieruchomości finansowano ze środków, należących do liderów grupy, pochodzących z kolejnych wyłudzanych pożyczek. 
 
W wyłudzaniu pożyczek Janowi L. pomagał Sławomir D., znany deweloper, który z kolei ""miał kontakt z pieniędzmi"" barona mafii narkotykowej Marka J. Jak twierdzi ""Newsweek"", celem interesu było pranie pieniędzy zarobionych na handlu heroiną. Jan L. wedle informacji tygodnika Polityka jest powiązany z Wojskowymi Służbami Informacyjnymi, jest twórcą jednej z pierwszych karuzel VATowskich, przerzucał kokainę z Brazyli do Wiednia, jest prokurentem spółek w Panamie i Zachodnim Samoa. Brał udział w zadłużaniu i wyprowadzaniu pieniędzy ze spółdzielni PAX.","http://cbsp.policja.pl/cbs/aktualnosci/110808,Kolejne-zatrzymania-w-sprawie-SKOK-Wolomin-prowadzonej-przez-CBSP.html
http://archiwum.polityka.pl/art/w-sluzbie-sluzb,446607.html
http://www.newsweek.pl/polska/handel-narkotykami-mafia-przestepczosc-zorganizowana-newsweek-pl,artykuly,351886,1.html",Drewniana 7,medium
Jacek Lisiewski,Prawnik. Specjalizujący się w obrocie nieruchomościami i reprywatyzacją. ,,"Odolańska 7
Asfaltowa 2",small
Grzegorz Majewski,"Dziekan Okręgowej Rady Adwokackiej w Warszawie, na zajęciach dla aplikantów adwokackich uczy etyki zawodu adwokata. Promotor programu odnowy adwokatury, która ma poradzić sobie z problemem zdefiniowanym słowami: „Zawód adwokata przestał być jednym z najbardziej szanowanych zawodów.”

Jego żona pracowała w Biurze Gospodarki Nieruchomościami, które zajmuje się zwrotami reprywatyzowanych nieruchomości. Zwolniona po wybuchu afery reprywatyzacyjnej w związku z tym, że w 2014 r. złożyła oświadczenie majątkowe, w którym twierdziła, że ""nie jest w stanie ustalić informacji"" czy jej mąż ma roszczenia czy nie. 

Przedstawia swoje racje publikując dokumenty związane ze sprawą reprywatyzacji działki przy Pałacu Kultury na swojej stronie internetowej.","http://tvnwarszawa.tvn24.pl/informacje,news,tvn24-zona-adwokata-ktory-przejal-chmielna-70-pracowala-w-ratuszu,210336.html

http://www.grzegorzmajewski.pl/program/#dekalog

https://chmielna70warszawa.wordpress.com/",Plac Defilad 1 / dawna Chmielna 70,small
Maciej Marcinkowski,"Tajemniczy handlarz roszczeniami. Zasiadał w radzie fundacji Semper Polonia, której patronem był Aleksander Kwaśniewski. Podobno pierwsze pieniędze zarobił prowadząc spółki polonijne. Ma roszczenia lub jest właścicielem najlepszych działek w stolicy. Wybudował biurowiec na placu Zamkowym.","http://wyborcza.pl/magazyn/1,124059,15293249,Moj_jest_ten_kawalek_Warszawy.html

http://wiadomosci.onet.pl/prasa/czerwona-fundacja/kht42

http://www.fakt.pl/wydarzenia/polityka/czlowiek-kwasniewskiego-w-niebezpieczenstwie/tvc0bs8

","Senatorska 2
Królewska 39
Foksal 7/9
Krakowskie Przedmieście (d. Pałac Karasia)
Gimnazjum na Twardej
ul. Emilii Plater (vis-a-vis Emilii)
Szara 3, 5, 7, 9",small
Marek Mossakowski,"Jeden z pierwszych, którzy zaczęli działać na rynku reprywatyzacyjnym. Właściciel wielu zreprywatyzowanych nieruchomości w Warszawie m.in. Nabielaka 9, skąd została uprowadzona i zamordowana Jolanta Brzeska. Znany ze swoich brutalnych metod czyszczenia kamienic z lokatorów. Po tym jak została zamordowana Jolanta Brzeska śicgał za długi jej córkę. Dzisiaj grozi mu więzienie za poświadczenie nieprawdy w sprawie dwóch kamienic na Pradze Północ: Jagiellońskiej 14 i Targowej 66. W jednym sądzie oświadczył, że spadkobierczyni kamienic nie żyje, a w drugim że nie zna jej miejsca zamieszkania. W jego interesie lobbował wiceminister infrastruktury w rządzie PO Piotr Styczeń, który przekonywał sąd, żeby ustanowił Mossakowskiego kuratorem 106 letniej kobiety d. właścicielki kamienic na Pradze.","http://www.dailymotion.com/video/xa3bel_mossakowski-znowu-zmusza-mieszkanco_news http://tvnwarszawa.tvn24.pl/informacje,news,kamienicznik-sadzi-sie-brz-corka-jolanty-brzeskiej,39817.html http://warszawa.wyborcza.pl/warszawa/1,150427,20600243,reprywatyzacja-w-warszawie-jak-lokatorzy-zatrzymali-kolekcjonera.html","Nabielaka 9
Dahlberga 5
Białostocka 10
Hoża 25a
Targowa 66
Jagiellońska 15",small
Andrzej Muszyński,"Adwokat, często reprezentuje handlarzy roszczeń, zajmuje się też reaktywacją przedwojennych spółek w celu odzyskiwania nieruchomości do nich niegdyś należących. W wielu sprawach reprywatyzacyjnych posiłkował się pełnomocnictwami notariuszy z Karaibów. ","http://warszawa.wyborcza.pl/warszawa/1,150427,20215778,reprywatyzacja-w-warszawie-jak-przejac-ogrodki-dzialkowe-na.html","Foksal 7/9
Królewska 39
Gimnazjum na Twardej
Podwale 1",small
Robert Nowaczyk,"Adwokat specjalizujący się w reprywatyzacji. Wyjątkowo skuteczny - jak podaje Gazeta Wyborcza, ze 120 warszawskich nieruchomości, o które zabiega dla klientów i dla siebie, przejął prawie 50. Od kilku lat ściśle współpracuje z Januszem Piecykiem.  Panowie byli właścicielami m.in. Poznańskiej 14.","http://wyborcza.pl/magazyn/1,124059,20572140,uklad-warszawski-czy-reprywatyzacja-w-stolicy-zatrzesie-polska.html","Poznańska 14
Wspólna 54
Wilanowska 22",medium
Jakub Rudnicki,"Zastępca dyrektora w BGN, pracował w BGN w latach 2006- 2012. Odszedł z pracy bo - jak wyznał Gazecie Stołecznej - miał ""po uszy i po dziurki w nosie całej atmosfery"" w urzędzie. Za czasów jego urzędowania jego rodzice Alina Dłużewska i Wojciech Rudnicki kupili roszczenia do kamienicy na Mokotowie, przy Kazimierzowskiej 34. Rudnicki dostał zwrot kamienicy kilka dni po swoim odejściu z urzędu, zwrotu dokonał zwolniony dyscyplinarnie w dn. 26.08.2016 przez HGW Jerzy Mrygoń. Rudnicki za czasów swojej pracy w urzędzie zwrócił swojemu bratu kamienicę przy ul. Marszałkowskiej 43.","http://wyborcza.pl/magazyn/1,124059,20572140,uklad-warszawski-czy-reprywatyzacja-w-stolicy-zatrzesie-polska.html","Kazimierzowska 34
Marszałkowska 43",small
Wojciech Rudnicki,"Handlarz roszczeniami reprywatyzacyjnymi. Minister Zdrowia w rządzie Marka Belki. W latach 1964-1973 pracował w instytucjach państwowych: Prezydium Wojewódzkiej Rady Narodowej w Warszawie, Ministerstwie Gospodarki Komunalnej, Ministestwie Handlu Zagranicznego. Od 1982 do 1991 radca prawny w Wydziale Finansowym Urzędu Stołeczengo, a po jego przekształceniu w Izbie Skarbowej w Warszawie. Z ramienia Izby Skarbowej likwidator Mazowieckiej Społdzielni ""Samopomoc Chłopska"", następnie pełnomocnik Komisji Likwidacyjnej RSW ""Prasa, KSążka, Ruch. Od 1966 członek ZSL a następnie PSL.","http://archiwum.polityka.pl/art/w-sluzbie-sluzb,446607.html ",Kazimierzowska 34,small
Piotr Siciński,"Noatriusz, były sędzia, szef wydziału ksiąg wieczystych Sądu Rejonowego dla Warszawy Mokotowa X Wydział Ksiąg Wieczystych. Począwszy od czerwca 2005 roku prowadzi Kancelarię Notarialną w Warszawie, specjalizując się w obrocie nieruchomościami. Przez jego kancelarię przewinęły się jedne z największych transakcji nieruchomościowych w stolicy. Oskarżany przez Zarząd Wspólnoty przy Wspólnej 54 o działania niezgodne z prawem i na szkodę wspólnoty.","http://finanse.wp.pl/kat,1033791,title,Wspolna-sprawa-miasta-Warszawa,wid,17638807,wiadomosc.html?ticaid=117b68","Plac Defilad 1 / dawna Chmielna 70
Szucha 13/15
Odolańska 7
Al. Róż 10 ",small
Jan Stachura,"Antykwariusz i adwokat specjalizujący się w reprywatyzacji. Stachura jak twierdzi już od lat 60-tych skupował roszczenia od przedwojennych spadkobierców. Na swojej stronie chwali się odzyskanymi przez siebie nieruchomościami. Reprywatyzuje nieruchomości nie tylko na rzecz swoich klientów, ale także dla siebie. ","http://www.newsweek.pl/biznes/dekret-bieruta--warszawie-grozi-bankructwo--czy-dostanie-prawo-pierwokupu-nieruchomosci-,107136,1,1.html http://www.janstachura.pl/","Al. Jerozolimskie 57
Al. Niepodległości 151
Asfaltowa 2
Belgijska 2
Bracka 3
Bracka 20
Bracka 22
wiele wiele innych (pełna lista: janstachura.pl)",small
Robert Szustkowski,"A właściwie dwóch Robertów Szustkowskich: senior i junior. Ojciec to tajemniczy polski biznesmen, który mieszka w Szwajcarii i prowadzi interesy głównie w Rosji. Obaj są pasjonatami sportów rajdowych (np. rajd Paryż-Dakar), dużo podróżują po świecie. 
 
Jeden z Robertów Szustkowskich jest charge d’affaires ambasady Republiki Gambii w Moskwie.","http://www.sport.pl/Rajd/1,131936,7399353,Rajd_Dakar__Robert_Szustkowski__Pomoze_mi_silna_psychika.html
http://www.gambiaembassy.ru/
http://www.thegambianow.gov.gm/index.php/104-messages/973-robert-szustkowski-charge-d-affaires-embassy-of-the-republic-of-the-gambia-in-the-russian-federation",,small
Piotr Wocial,"Adwokat, specjalizuje się w sprawach reprywatyzacyjnych. Jego kancelaria mieści się na Noakowskiego 16.","https://www.wprost.pl/121859/Poczta http://warszawa.wyborcza.pl/warszawa/1,34889,10352899,Tajemnicza_firma_przejela_budynek__Mieszkancy_bez.html","Noakowskiego 16
Odolańska 7
Tamka 45a",small
Wojciech Kuranowski,Biznesmen prowadzący interesy w Rosji. W 2003 roku pracował jako przedstawiciel rosyjskiego koncernu metalurgicznego Lebiedinskij Gorno - Obogotitielnyj Kombinat należącego do Gazpromu. W późniejszych latach pełnił funkcję członka rady nadzorczej Ery 200 - spółki matki grupy Radius. ,"http://wyborcza.pl/1,75248,1412457.html",,small
Jacek Powsiński,"Czyściciel kamienic. Pracował dla Jakuba Rudnickiego i Jana Stachury. Udzielił nawet wywiadu Gazecie Stołecznej. Znajomi podziwiają go, że mam siłę psychiczną, żeby się użerać z lokatorami.","http://warszawa.wyborcza.pl/warszawa/1,34886,12012076,Jade_do_lokatorow_w_dresie___pelnomocnik_spadkobiercow.html","Kazimierzowska 34
Stanisława Augusta 8",small
